title,url,publish_time,time_confidence,source_type,identity_key,biz,mid,idx,sn
普通人做 AI 短剧：用这 6 个工具，从写剧本到成片,https://mp.weixin.qq.com/s/6anYB88_FXLswO4T_kvYjQ,2026-07-25 21:48:51,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506289,,
WorkBuddy+Kimi K3做PPT，真挺好看的,https://mp.weixin.qq.com/s/gw2gX_QaRiZH-DPB6RC03Q,2026-07-24 16:31:47,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506274,,
OpenAI正在疯狂招人！721个岗位在招，非技术也能加入（附中文报名攻略）,https://mp.weixin.qq.com/s/oNpRBeNo-OAFXLMb_xf5Hw,2026-07-22 09:11:21,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506252,,
想靠 AI 短剧赚钱？先把剧本写完：Laper 工作流实测,https://mp.weixin.qq.com/s/1IhE_DTvm20X5tGkwiSbWA,2026-07-13 12:42:55,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506247,,
PPT 制作神器！Claude Code 审美直接封神,https://mp.weixin.qq.com/s/obGJ2cSLieX2K7ryOdMFpw,2026-07-08 15:38:27,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506237,,
我做了个「开源搭子」skill：零基础也能秒推 GitHub，国内自动切镜像,https://mp.weixin.qq.com/s/V1oSvUbruxXgAUN0uuClVQ,2026-07-03 16:32:03,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506221,,
日入 1000 后，我把个人网站开源了，手把手带你实现,https://mp.weixin.qq.com/s/3azwYvNCFoCoinyBhmobZg,2026-07-02 12:02:00,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506216,,
"腾讯 QClaw 刚上了一个""建站搭子""：聊天就能建网站",https://mp.weixin.qq.com/s/phJOGkXHwvaB36onsiqthQ,2026-07-01 19:11:38,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506207,,
AI 终于有邮箱了！QQ 邮箱团队这一波，是真的懂 Agent,https://mp.weixin.qq.com/s/ewV-dQEO7OnRMW532cvXCA,2026-06-29 15:44:41,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506202,,
别再只会提问AI了，教你如何搭建AI助手,https://mp.weixin.qq.com/s/kGL2n8bD7SBusbtfOgm4JA,2026-06-29 15:44:41,high,wechat_dashboard_history,fakeid:MzI2Nzg5MjgyNg==,,2247506202,,
