title,url,publish_time,time_confidence,source_type,identity_key,biz,mid,idx,sn
我把一个产品丢给豆包，它直接拆成了专业的爆炸图,https://mp.weixin.qq.com/s/6kQygDI6jnkKU87g3VSUqg,2026-07-25 12:40:37,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247506062,,
全球五大权威机构集中发布报告：都指向DAA,https://mp.weixin.qq.com/s/1YlWyVRapOknF_HBemC1xQ,2026-07-24 20:59:45,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247506047,,
终于找到一款小白也能用的图片设计 AI 工具：腾讯 Miora,https://mp.weixin.qq.com/s/vTVxzes_k5RluTaUCZ_SZw,2026-07-22 15:46:05,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247506040,,
对标Fable 5，Qwen3.8-Max参数达2.4T,https://mp.weixin.qq.com/s/RwBuZHOCAQhyQN05HYToYg,2026-07-19 19:20:33,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247506007,,
Codex 换皮肤攻略，0 基础 3 分钟搞定,https://mp.weixin.qq.com/s/G598Htnb4k2cVyLnWGQPSw,2026-07-16 17:19:49,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247505997,,
一共600美元！免费使用6个月CodeX Pro,https://mp.weixin.qq.com/s/TVNl4jjJvO-kfOw1sk2Qsg,2026-07-13 01:23:52,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247505974,,
WAIC2026提前剧透，百度AI手把手教你做OPC,https://mp.weixin.qq.com/s/0CVWDQ4ZL7QO0zOgDAc34Q,2026-07-12 19:59:57,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247505967,,
OpenCode 入门指南，从零基础到实战，看这一篇就够了！,https://mp.weixin.qq.com/s/RoqlepeGRzDNOiDJkg7jKw,2026-07-09 21:17:32,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247505945,,
Claude Code 不让用了，但 AI 编程戒不掉？3 个平替续上,https://mp.weixin.qq.com/s/KjyE3Umtc6SBwnQQjXDxPg,2026-07-08 23:45:13,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247505935,,
腾讯 Hy3 免费使用！顺带管理你的开源项目,https://mp.weixin.qq.com/s/hv6blicZY2OB_1-VDT2kkA,2026-07-08 11:10:37,high,wechat_dashboard_history,fakeid:MzUzNTc5NjA4NQ==,,2247505913,,
