
=== 执行时间: 2026-04-28 17:19:42 ===
处理总数: 2761 篇 | 成功添加: 2460 篇 | 跳过: 301 篇
❌ 跳过 | chatgpt-test-link.md | 已有封面
❌ 跳过 | python-spark.md | 已有封面
❌ 跳过 | spark-setup.md | 已有封面
❌ 跳过 | wemedia-group.md | 已有封面
❌ 跳过 | course-code-120502.md | 已有封面
❌ 跳过 | wechat-robot.md | 已有封面
❌ 跳过 | cup-ai-1.md | 已有封面
❌ 跳过 | course-code-0808.md | 已有封面
❌ 跳过 | books-106-python.md | 已有封面
❌ 跳过 | python-download.md | 已有封面
❌ 跳过 | 1w-hours.md | 已有封面
❌ 跳过 | chongqing-company.md | 已有封面
❌ 跳过 | git-high-version.md | 已有封面
✅ 成功 | log/2026/0428-免费AI.md | 匹配关键词: ai
✅ 成功 | python-news/version/3.12/3.12-10.2.md | 匹配关键词: default
✅ 成功 | python-news/version/3.12/f-string-001.md | 匹配关键词: default
✅ 成功 | python-news/python312-alpha5.md | 匹配关键词: python
✅ 成功 | keywords/python-library/0925-ticket.md | 匹配关键词: default
✅ 成功 | keywords/python-library/20240413-wps-ai.md | 匹配关键词: ai
✅ 成功 | keywords/python-library/250210-ds-init.md | 匹配关键词: default
✅ 成功 | keywords/python-library/20240821-gpt4-fine.md | 匹配关键词: default
✅ 成功 | keywords/python-library/1031-alilingma.md | 匹配关键词: default
✅ 成功 | keywords/auto-work/20270701-微信助手.md | 匹配关键词: default
❌ 跳过 | keywords/1130-kw-wuzhihong.md | 无frontmatter
✅ 成功 | keywords/华为编程.md | 匹配关键词: default
❌ 跳过 | pys/pys-test.md | 无frontmatter
✅ 成功 | work-story/study/ocr-photo-number-name-init.md | 匹配关键词: default
✅ 成功 | work-story/study/20240603-解决excel的问题.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2023/12/java-study.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2023/12/data-v.md | 匹配关键词: data
✅ 成功 | work-story/1v1/2023/12/robot-ai.md | 匹配关键词: ai
✅ 成功 | work-story/1v1/2023/11/1117.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2023/11/1120-重庆本地老弟.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/5/20240514-robot.md | 匹配关键词: robot
✅ 成功 | work-story/1v1/2024/5/20240509-fuye.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/5/20240511-rumen.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/5/20240509-web4excel.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/5/20240521-pdf2excel.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/2/0227-rpa.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/2/0216-刚毕业想转行.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/2/0224-excel操作.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/3/0319-比较数据怎么学.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/3/0316-syscode.md | 匹配关键词: code
✅ 成功 | work-story/1v1/2024/3/0318-csys.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/3/0318-接单怎么学.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/3/0316-pandas_qt.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/3/0306-4kindofwork.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/4/20240424-tumu.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/8/20240820-python处理excel.md | 匹配关键词: python
✅ 成功 | work-story/1v1/2024/8/20240824-python-lijia.md | 匹配关键词: python
✅ 成功 | work-story/1v1/2024/1/0124-qrcode.md | 匹配关键词: code
✅ 成功 | work-story/1v1/2024/1/openpyxl-0107.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/6/20240620-生物信息作图.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/6/20240630-会计学习.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/6/20240627-智能办公怎么学习.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/7/20240702-自动化填充网页怎么学.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/7/20240728-exe-finance.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/7/20240726-pyauto-cpp.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/11/20241105-excel_tch.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2024/9/20240905-geo_tch.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2025/5/20250531-c++.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2025/2/excel.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2025/2/0216-hunan.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2025/2/0208-hangzhou.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2025/2/0222-finance-course.md | 匹配关键词: course
✅ 成功 | work-story/1v1/2025/2/0225-cq.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2025/3/0225-cq.md | 匹配关键词: default
✅ 成功 | work-story/1v1/2025/4/0428-finance-ai.md | 匹配关键词: ai
